@relation training_keyboard.arff-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C26-Llast

@attribute Pacman_posx numeric
@attribute Pacman_posy numeric
@attribute Number_ghosts numeric
@attribute Ghost1_Distance numeric
@attribute Ghost2_Distance numeric
@attribute Ghost3_Distance numeric
@attribute Ghost4_Distance numeric
@attribute Ghost1_Posx numeric
@attribute Ghost1_Posy numeric
@attribute Ghost2_Posx numeric
@attribute Ghost2_Posy numeric
@attribute Ghost3_Posx numeric
@attribute Ghost3_Posy numeric
@attribute Ghost4_Posx numeric
@attribute Ghost4_Posy numeric
@attribute Living_Ghost1 {True,False}
@attribute Living_Ghost2 {True,False}
@attribute Living_Ghost3 {True,False}
@attribute Living_Ghost4 {True,False}
@attribute Ghost1_Direction {North,South,East,West,Stop,None}
@attribute Ghost2_Direction {North,South,East,West,Stop,None}
@attribute Ghost3_Direction {North,South,East,West,Stop,None}
@attribute Ghost4_Direction {North,South,East,West,Stop,None}
@attribute pacDots numeric
@attribute Dist_nearest_pacDots numeric
@attribute Pacman_direction {North,South,East,West,Stop}
@attribute Score numeric
@attribute East_Legal {True,False}
@attribute West_Legal {True,False}
@attribute North_Legal {True,False}
@attribute South_Legal {True,False}
@attribute FutureScore numeric

@data
1,11,4,12,8,7,17,7,5,6,8,8,11,14,6,True,True,True,True,East,South,Stop,North,2,14,East,-1,True,False,False,True,-2
2,11,4,12,8,5,17,8,5,6,7,7,11,14,7,True,True,True,True,East,South,West,East,2,13,East,-2,True,True,False,False,-3
3,11,4,12,8,4,15,8,4,7,7,7,11,15,7,True,True,True,True,South,East,West,West,2,12,East,-3,True,True,False,False,-4
4,11,4,10,8,4,13,8,5,8,7,8,11,14,7,True,True,True,True,North,East,East,West,2,11,East,-4,True,True,False,False,-5
5,11,4,8,8,2,11,7,5,9,7,7,11,13,7,True,True,True,True,West,East,West,North,2,10,East,-5,True,True,False,True,-6
6,11,4,8,8,2,11,7,4,9,6,8,11,13,8,True,True,True,True,South,South,East,East,2,9,East,-6,True,True,False,True,-7
7,11,4,6,6,1,9,7,5,8,6,8,11,14,8,True,True,True,True,North,West,East,West,2,8,East,-7,True,True,False,False,192
8,11,4,8,6,10000,9,6,5,8,5,5,1,13,8,True,True,False,True,West,South,Stop,South,2,7,East,192,True,True,False,False,191
9,11,4,8,8,10000,8,7,5,8,4,5,1,13,7,True,True,False,True,East,South,Stop,South,2,6,East,191,True,True,False,False,190
10,11,4,10,10,10000,6,6,5,8,3,5,1,13,7,True,True,False,True,West,South,Stop,West,2,5,East,190,True,True,False,True,189
11,11,4,12,11,10000,5,6,4,8,3,5,1,12,7,True,True,False,True,South,South,Stop,West,2,4,East,189,True,True,False,True,188
1,11,4,12,8,6,19,7,5,6,8,7,11,14,6,True,True,True,True,East,South,West,South,2,14,East,-1,True,False,False,True,-2
2,11,4,12,6,5,18,7,4,6,9,7,11,14,5,True,True,True,True,South,North,West,South,2,13,East,-2,True,True,False,False,-3
3,11,4,11,6,5,18,7,4,7,9,8,11,14,5,True,True,True,True,South,East,East,South,2,12,East,-3,True,True,False,False,-4
4,11,4,11,6,5,16,8,4,7,8,9,11,14,4,True,True,True,True,East,South,East,West,2,11,East,-4,True,True,False,False,-5
5,11,4,9,5,4,14,7,4,7,8,9,11,13,4,True,True,True,True,West,South,East,North,2,10,East,-5,True,True,False,True,-6
6,11,4,9,5,3,13,8,4,7,7,9,11,13,5,True,True,True,True,East,South,East,North,2,9,East,-6,True,True,False,True,-7
7,11,4,7,4,1,13,8,5,7,7,8,11,13,5,True,True,True,True,North,South,West,South,2,8,East,-7,True,True,False,False,192
8,11,4,7,4,10000,13,9,5,8,7,5,1,13,4,True,True,False,True,East,East,Stop,East,2,7,East,192,True,True,False,False,191
9,11,4,7,5,10000,11,8,5,8,7,5,1,14,4,True,True,False,True,West,East,Stop,North,2,6,East,191,True,True,False,False,190
10,11,4,8,7,10000,10,8,5,7,7,5,1,14,5,True,True,False,True,West,West,Stop,North,2,5,East,190,True,True,False,True,189
11,11,4,8,7,10000,10,9,5,7,8,5,1,14,5,True,True,False,True,East,North,Stop,East,2,4,East,189,True,True,False,True,188
12,11,4,9,7,10000,10,9,5,8,8,5,1,15,5,True,True,False,True,East,East,Stop,East,2,3,East,188,True,True,False,False,187
13,11,4,11,9,10000,10,8,5,8,7,5,1,16,5,True,True,False,True,West,South,Stop,South,2,2,East,187,True,True,False,False,186
14,11,4,13,11,10000,10,7,5,7,7,5,1,16,4,True,True,False,True,West,West,Stop,South,2,1,South,186,True,True,False,True,285
14,10,4,13,10,10000,8,6,5,7,7,5,1,16,3,True,True,False,True,West,West,Stop,North,1,8,South,285,False,False,True,True,284
14,9,4,13,8,10000,8,5,5,8,7,5,1,16,4,True,True,False,True,West,East,Stop,East,1,7,South,284,True,True,True,True,283
14,8,4,11,8,10000,6,6,5,7,7,5,1,17,4,True,True,False,True,East,West,Stop,West,1,6,South,283,True,True,True,True,282
14,7,4,10,7,10000,5,6,5,7,7,5,1,16,4,True,True,False,True,East,West,Stop,West,1,5,South,282,True,True,True,True,281
14,6,4,10,9,10000,5,6,4,6,7,5,1,16,4,True,True,False,True,South,West,Stop,South,1,4,South,281,False,False,True,True,280
14,5,4,8,11,10000,3,6,5,6,8,5,1,16,3,True,True,False,True,North,North,Stop,North,1,5,South,280,True,True,True,True,279
14,4,4,8,11,10000,2,6,4,7,8,5,1,16,4,True,True,False,True,South,East,Stop,North,1,6,East,279,True,True,True,True,478
